,exact_match,exact_match_std,f1,f1_std
750_scitail_text_mnli_text_qnli_text,88.3,0.6,90.6,0.5
750_snli_text_origin_.?,51.0,0.7,48.7,1.5
750_snli_text_mnli_text,82.4,0.3,82.2,0.4
750_snli_text_qnli_text,52.5,0.8,50.2,1.5
750_snli_text_mnli_text_qnli_text,81.8,0.6,81.6,0.7
1000_scitail_text_origin_.?,62.3,1.4,76.0,0.6
1000_scitail_text_mnli_text,88.4,0.6,90.6,0.4
1000_scitail_text_qnli_text,69.3,1.6,78.4,1.1
1000_scitail_text_mnli_text_qnli_text,88.0,0.8,90.3,0.6
1000_snli_text_origin_.?,50.9,0.6,49.2,1.0
1000_snli_text_mnli_text,82.9,0.3,82.8,0.3
1000_snli_text_qnli_text,52.4,0.7,50.0,1.2
1000_snli_text_mnli_text_qnli_text,82.4,0.3,82.3,0.3
0_sst5_text_origin_.?,0.0,0.0,0.0,0.0
0_sst5_text_sst2_text,93.8,0.3,94.0,0.3
0_sst5_text_yelp_polarity_text,88.9,0.8,88.6,0.8
0_sst5_text_sst2_text_yelp_polarity_text,90.0,0.7,89.9,0.8
0_imdb_text_origin_.?,81.1,5.8,77.2,9.6
0_imdb_text_sst2_text,88.3,0.4,88.0,0.6
0_imdb_text_yelp_polarity_text,90.3,0.2,90.0,0.3
0_imdb_text_sst2_text_yelp_polarity_text,90.4,0.3,90.1,0.5
5_sst5_text_origin_.?,68.1,10.3,76.1,5.9
5_sst5_text_sst2_text,93.8,0.2,94.0,0.2
5_sst5_text_yelp_polarity_text,89.3,0.6,89.3,0.7
5_sst5_text_sst2_text_yelp_polarity_text,90.5,0.6,90.6,0.6
5_imdb_text_origin_.?,88.8,0.4,88.8,0.5
5_imdb_text_sst2_text,89.3,0.3,89.3,0.4
5_imdb_text_yelp_polarity_text,90.5,0.2,90.4,0.2
5_imdb_text_sst2_text_yelp_polarity_text,90.6,0.2,90.6,0.3
25_sst5_text_origin_.?,63.1,11.7,73.8,6.3
25_sst5_text_sst2_text,93.8,0.2,94.0,0.2
25_sst5_text_yelp_polarity_text,89.6,0.3,90.1,0.4
25_sst5_text_sst2_text_yelp_polarity_text,90.6,0.4,91.0,0.4
25_imdb_text_origin_.?,89.2,0.2,89.3,0.2
25_imdb_text_sst2_text,89.2,0.2,89.3,0.2
25_imdb_text_yelp_polarity_text,90.4,0.2,90.4,0.2
25_imdb_text_sst2_text_yelp_polarity_text,90.6,0.2,90.5,0.2
50_sst5_text_origin_.?,76.9,11.1,81.7,7.0
50_sst5_text_sst2_text,93.7,0.2,93.9,0.2
50_sst5_text_yelp_polarity_text,89.7,0.5,89.9,0.5
50_sst5_text_sst2_text_yelp_polarity_text,90.8,0.5,91.1,0.5
50_imdb_text_origin_.?,89.6,0.2,89.6,0.2
50_imdb_text_sst2_text,90.0,0.4,90.0,0.4
50_imdb_text_yelp_polarity_text,90.3,0.2,90.0,0.2
50_imdb_text_sst2_text_yelp_polarity_text,90.4,0.2,90.2,0.3
100_sst5_text_origin_.?,79.6,8.9,83.2,5.8
100_sst5_text_sst2_text,93.8,0.3,93.9,0.3
100_sst5_text_yelp_polarity_text,90.1,0.5,90.6,0.5
100_sst5_text_sst2_text_yelp_polarity_text,91.1,0.5,91.5,0.5
100_imdb_text_origin_.?,89.5,0.3,89.4,0.4
100_imdb_text_sst2_text,90.0,0.3,90.2,0.3
100_imdb_text_yelp_polarity_text,90.4,0.2,90.3,0.2
100_imdb_text_sst2_text_yelp_polarity_text,90.5,0.2,90.4,0.2
250_sst5_text_origin_.?,84.5,7.2,86.5,5.3
250_sst5_text_sst2_text,93.9,0.2,94.0,0.2
250_sst5_text_yelp_polarity_text,90.1,0.6,90.5,0.6
250_sst5_text_sst2_text_yelp_polarity_text,91.0,0.5,91.3,0.5
250_imdb_text_origin_.?,89.8,0.2,89.8,0.2
250_imdb_text_sst2_text,90.3,0.3,90.4,0.3
250_imdb_text_yelp_polarity_text,90.9,0.2,90.9,0.2
250_imdb_text_sst2_text_yelp_polarity_text,91.0,0.1,91.0,0.2
500_sst5_text_origin_.?,85.7,10.1,87.7,6.5
500_sst5_text_sst2_text,93.9,0.3,94.1,0.3
500_sst5_text_yelp_polarity_text,92.1,0.8,92.4,0.7
500_sst5_text_sst2_text_yelp_polarity_text,92.1,1.1,92.3,1.1
500_imdb_text_origin_.?,89.8,0.2,89.9,0.2
500_imdb_text_sst2_text,90.5,0.1,90.7,0.1
500_imdb_text_yelp_polarity_text,91.2,0.1,91.2,0.2
500_imdb_text_sst2_text_yelp_polarity_text,91.2,0.1,91.3,0.1
750_sst5_text_origin_.?,85.3,9.7,87.3,6.2
750_sst5_text_sst2_text,93.9,0.2,94.0,0.2
750_sst5_text_yelp_polarity_text,92.0,0.6,92.1,0.6
750_sst5_text_sst2_text_yelp_polarity_text,92.2,0.8,92.4,0.8
750_imdb_text_origin_.?,89.7,0.1,89.7,0.1
750_imdb_text_sst2_text,90.6,0.2,90.6,0.2
750_imdb_text_yelp_polarity_text,91.4,0.2,91.4,0.3
750_imdb_text_sst2_text_yelp_polarity_text,91.4,0.2,91.4,0.2
1000_sst5_text_origin_.?,87.2,7.3,88.6,5.1
1000_sst5_text_sst2_text,93.9,0.2,94.0,0.2
1000_sst5_text_yelp_polarity_text,92.2,0.5,92.5,0.4
1000_sst5_text_sst2_text_yelp_polarity_text,92.5,0.3,92.8,0.3
1000_imdb_text_origin_.?,89.6,0.1,89.6,0.2
1000_imdb_text_sst2_text,90.5,0.2,90.6,0.2
1000_imdb_text_yelp_polarity_text,91.4,0.2,91.3,0.2
1000_imdb_text_sst2_text_yelp_polarity_text,91.4,0.1,91.3,0.1
